id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23286224,HABITACIÓN INDIVIDUAL.  CASA CON ENCANTO. MALASAÑA,36314696,Juana,Centro,Universidad,40.4233985680442,-3.7036447820671503,Private room,42,2,19,2018-10-15,2.25,2,281
23287062,10MIN WALKING FROM PLAZA MAYOR AND PUERTA DEL SOL,9885245,My Mad Madrid,Centro,Embajadores,40.40915628685188,-3.7044379419577367,Entire home/apt,55,1,42,2018-10-28,4.96,29,344
23287977,Great Location! CALLAO SQUARE 2,90647789,Victor,Centro,Sol,40.41847542645051,-3.7075983099507326,Entire home/apt,84,3,37,2018-10-25,4.49,7,103
23288641,Stylish & Spacious 3 BR In City Center,60054313,Amir,Centro,Palacio,40.4105794742472,-3.7103338829590755,Entire home/apt,155,3,18,2018-10-14,2.12,2,154
23289540,Elegant prived room breakfast,50262565,Angie,Centro,Justicia,40.42641134471031,-3.6981681762874086,Private room,55,1,29,2018-08-21,3.40,10,0
23290897,"Creatives Only! LOFT with Terrace, Metro L1 Tetuan",5130673,Mo,Tetuán,Berruguete,40.46167415515987,-3.703454758487198,Entire home/apt,40,3,8,2018-10-16,0.94,2,62
23292198,"Centro histórico, Palacio Real",5537924,Agustín Y Amaia,Centro,Palacio,40.413499189732484,-3.712317852585205,Entire home/apt,55,3,24,2018-10-04,2.82,7,141
23292415,Cozy Loft in flea market area,5537924,Agustín Y Amaia,Centro,Embajadores,40.40919551965834,-3.7051276085196188,Entire home/apt,70,3,16,2018-08-02,1.85,7,17
23292800,ACOGEDOR APARTAMENTO EN CENTRO MADRID,173414265,Rosa,Centro,Justicia,40.42070440785387,-3.699740778798028,Entire home/apt,100,1,14,2018-10-14,1.64,1,180
23292811,Stylish Studio in Plaza Santa Ana,11233926,Gabriel,Centro,Cortes,40.414395173102335,-3.7004297893062983,Entire home/apt,65,1,22,2018-10-25,2.70,18,349
23296226,Two amazing flats for 37 people 25 beds,50262565,Angie,Centro,Justicia,40.42510731340364,-3.6979050683173944,Entire home/apt,1100,1,0,,,10,73
23296555,Bali prived room with breakfast,50262565,Angie,Centro,Justicia,40.425617169017926,-3.6970524712671873,Private room,45,2,65,2018-10-24,7.68,10,61
23298790,"CUEVA SOTANO en ""Puerta del Sol""",142669643,Giuseppe,Centro,Sol,40.41695809089675,-3.706702126076453,Private room,200,2,0,,,1,364
23299840,Céntrico apartamento cerca del MUSEO DEL PRADO.,11872121,Iryna&Óscar,Retiro,Pacífico,40.404310569232194,-3.681329104202406,Entire home/apt,80,2,20,2018-10-08,2.34,3,92
23300463,The perfect place to chill in Madrid,116959266,Guillaume,San Blas - Canillejas,Simancas,40.43804833461713,-3.6344526453066126,Private room,30,1,1,2018-11-04,1,1,79
23301767,Apartment in Cava Baja (Centre Madrid),40877988,Eduardo Y Raul,Centro,Embajadores,40.41240436419545,-3.7074456791970216,Entire home/apt,70,2,33,2018-10-30,3.87,40,319
23303365,"Madrid Art Centro, 2 Rooms, independent kitchen.",171656758,Pablo,Centro,Cortes,40.411635787978504,-3.695223438749705,Entire home/apt,70,3,28,2018-10-26,3.28,1,178
23303836,Comfortable and Contemporary Apartment,27159185,Ruben,Salamanca,Recoletos,40.421991981397525,-3.6894395474595436,Entire home/apt,60,4,2,2018-10-02,0.78,11,341
23304567,Beautiful and bright apartment Barrio Salamanca,27159185,Ruben,Salamanca,Fuente del Berro,40.426636107293184,-3.668272199419072,Entire home/apt,60,2,7,2018-10-21,0.91,11,281
23309381,Perfect Apartment in a Magical Madrid,8321213,Paula,Centro,Cortes,40.411401820832765,-3.6944560255838703,Entire home/apt,70,1,81,2018-11-06,9.24,11,325
23314609,NIDO PARA POCOS DIAS,173616730,Angel,Tetuán,Cuatro Caminos,40.45521814133772,-3.701143824980829,Private room,35,2,5,2018-10-15,0.75,1,337
23314919,Wonderful apartment for 4 people in Argüelles,173472630,Sonia,Moncloa - Aravaca,Casa de Campo,40.42043823720209,-3.718708881355146,Entire home/apt,70,3,4,2018-04-24,0.47,1,12
23316336,"Apartamento en Chamberí. Centro, Calle Escosura",40877988,Eduardo Y Raul,Chamberí,Arapiles,40.43524594924945,-3.7060158080389805,Entire home/apt,90,2,17,2018-11-05,2.11,40,339
23316983,Home Club Torre Madrid XLI,159558182,Home,Moncloa - Aravaca,Argüelles,40.42532228671463,-3.7133415097917823,Entire home/apt,185,1,0,,,83,330
23317354,BERNABEU 3 BDR 3 BTH PARKING FREE WIFI AC,173636640,Rosa Y Marta,Chamartín,Ciudad Jardín,40.44550901149144,-3.677945605875533,Entire home/apt,98,3,14,2018-11-04,1.72,1,228
23317541,"Castellana, Big Appartment.",160849520,Julian,Tetuán,Castillejos,40.4591598625848,-3.6909369423531357,Private room,40,2,17,2018-09-30,2.02,1,35
