"distrito","ano","quarter","precio"
"Moncloa",2006,3,4259.35684841983
"Moratalaz",2006,3,3332.50175090763
"Puente De Vallecas",2006,3,3109.35309780588
"Retiro",2006,3,4321.23414240604
"Salamanca",2006,3,4763.69518673032
"San Blas",2006,3,3366.359674451
"Tetuán",2006,3,3955.10177425363
"Usera",2006,3,3076.11725502263
"Vicálvaro",2006,3,3158.45816269202
"Villa De Vallecas",2006,3,3113.13917335521
"Villaverde",2006,3,2803.31177958374
"Arganzuela",2006,4,3980.43306658443
"Barajas",2006,4,3707.29260972118
"Carabanchel",2006,4,3210.17544305693
"Centro",2006,4,4304.54534126215
"Chamartín",2006,4,4797.76242877971
"Chamberí",2006,4,4828.9851578033
"Ciudad Lineal",2006,4,3818.35985121112
"Fuencarral",2006,4,3868.2217357462
"Hortaleza",2006,4,3819.60240671457
"Latina",2006,4,3223.40012544443
"Moncloa",2006,4,4275.29377070259
"Moratalaz",2006,4,3391.0740941293
"Puente De Vallecas",2006,4,3138.16619810753
"Retiro",2006,4,4396.96101192635
"Salamanca",2006,4,4811.6969237657
"San Blas",2006,4,3446.65040857288
"Tetuán",2006,4,3954.31167745512
"Usera",2006,4,3096.2097085769
"Vicálvaro",2006,4,3169.49923767092
"Villa De Vallecas",2006,4,3158.347982537
"Villaverde",2006,4,2867.49730693443
"Arganzuela",2007,1,3970.75478820969
"Barajas",2007,1,3687.65196269998
"Carabanchel",2007,1,3227.687359426
"Centro",2007,1,4398.20931123549
"Chamartín",2007,1,4860.6484800152
"Chamberí",2007,1,4927.48046093665
"Ciudad Lineal",2007,1,3788.40799620544
"Fuencarral",2007,1,3920.54885583231
"Hortaleza",2007,1,3840.21041278572
"Latina",2007,1,3239.46764244599
"Moncloa",2007,1,4308.05860467024
"Moratalaz",2007,1,3353.3858626396
"Puente De Vallecas",2007,1,3138.1524540638
"Retiro",2007,1,4420.7883574925
"Salamanca",2007,1,4995.27782896899
"San Blas",2007,1,3450.70668882045
"Tetuán",2007,1,3960.73600553504
"Usera",2007,1,3030.5603445554
"Vicálvaro",2007,1,3091.37422527868
"Villa De Vallecas",2007,1,3175.93995680773
"Villaverde",2007,1,2831.83443674373
"Arganzuela",2007,2,3926.9932295131
"Barajas",2007,2,3730.1779520808
"Carabanchel",2007,2,3182.86026239888
"Centro",2007,2,4454.44280698934
"Chamartín",2007,2,4884.63555168808
"Chamberí",2007,2,4941.7760304902
"Ciudad Lineal",2007,2,3762.04580258424
"Fuencarral",2007,2,3916.61203151576
"Hortaleza",2007,2,3870.82932167728
"Latina",2007,2,3213.76285128046
"Moncloa",2007,2,4385.96541298405
"Moratalaz",2007,2,3375.11954212913
"Puente De Vallecas",2007,2,3088.7298245142
"Retiro",2007,2,4418.39023212464
"Salamanca",2007,2,5001.00794714852
"San Blas",2007,2,3453.60218268776
"Tetuán",2007,2,3921.88666500778
"Usera",2007,2,3021.38535719586
"Vicálvaro",2007,2,3124.44828594682
"Villa De Vallecas",2007,2,3091.36241639488
"Villaverde",2007,2,2829.62369471971
"Arganzuela",2007,3,3913.50703785109
"Barajas",2007,3,3651.23344456737
"Carabanchel",2007,3,3147.67156864081
"Centro",2007,3,4404.69570862161
"Chamartín",2007,3,4913.35406581909
